nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par ,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,quant_viagem
 ELI DIAS BORGES,M,81,11,0,6,11,0,01/09/1960,389429.95,31188.98,46066.46,51592.15,46239.19,48724.2,43313.71,41770.08,35826.39,32575.57,10263.37,1869.85,33763.0,1104364.78,111130.49,111392.69,111205.19,108796.48,110064.23,111248.28,109041.83,110416.27,110246.84,110822.48,0
 ELIAS VAZ DE ANDRADE,M,82,10,9,81,19,5,04/07/1966,167084.01,15838.58,26200.21,25592.46,27999.68,27596.14,12853.99,11787.89,3017.22,323.45,15362.24,512.15,33763.0,1074212.44,105866.83,105866.83,104555.04,105866.83,106630.73,108826.95,108826.95,108826.95,108826.95,110118.38,0
 FERNANDO BEZERRA DE SOUZA COELHO FILHO,M,81,11,5,6,43,4,28/02/1984,289091.64,32904.38,35321.53,50966.51,42640.35,22991.65,38141.86,34943.44,7902.03,1571.47,20930.42,778.0,33763.0,1087816.23,106461.21,106461.21,106461.21,106461.21,107548.75,111277.47,111277.47,110295.4,110786.15,110786.15,0
 FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,M,82,10,10,13,13,3,29/05/1991,289321.08,39534.77,31282.38,56382.81,46765.21,50641.59,43365.67,18271.75,239.65,40.19,1714.17,1082.89,33763.0,938905.52,97669.43,98842.46,98853.61,101434.99,105314.69,105934.61,105601.33,88221.2,71613.4,65419.8,0
 FLAVIANO FLÁVIO BAPTISTA DE MELO,M,82,10,10,3,1,0,17/11/1949,438870.21,34282.68,37155.36,51227.13,29713.9,79405.7,25480.53,38048.4,39592.1,54822.12,29142.29,20000.0,33763.0,1104480.65,107904.83,107983.89,111367.03,111659.62,111659.62,111659.62,111659.62,110227.3,110179.56,110179.56,0
 FLÁVIO RODRIGUES NOGUEIRA,M,91,1,1,39,4,0,27/02/1953,395772.41,38329.27,41835.51,39604.13,37048.37,42494.03,47068.0,42082.62,36727.61,36484.39,34098.48,0.0,33763.0,1106884.69,110937.69,110937.69,111074.66,110962.76,111467.18,111544.27,111544.27,111544.27,111544.27,105327.63,0
 FRANCISCO RODRIGUES VALE JUNIOR,M,87,5,3,25,8,2,15/03/1969,309142.86,17093.58,30616.27,50032.21,33547.1,38718.63,30008.06,31405.2,20504.95,10000.71,26688.21,20527.94,33763.0,1076485.1,110440.58,110440.58,110440.58,110440.58,108630.41,108370.3,101304.39,105472.56,105472.56,105472.56,0
 FERNANDO RODOLFO TENORIO DE VASCONCELOS,M,83,9,4,17,54,3,17/11/1983,302649.08,34398.75,35640.31,48456.09,61790.5,42253.99,30175.92,26376.1,10140.69,7883.19,5533.54,0.0,33763.0,1015741.66,110824.9,108472.48,109833.05,104726.42,110607.73,107797.77,106334.87,77927.2,90812.99,88404.25,0
 FRANCO CARTAFINA GOMES,M,86,6,3,44,19,4,03/11/1986,318135.2,28065.1,33009.58,43304.17,45119.68,52088.32,34699.31,22247.15,51692.11,5409.62,2332.94,167.22,33763.0,1112857.76,110962.06,110962.06,110962.06,110962.06,111166.17,111568.67,111568.67,111568.67,111568.67,111568.67,0
 FREDERICO BORGES DA COSTA,M,83,9,9,14,6,1,12/07/1977,285262.12,14730.3,29479.43,41701.41,55095.45,44266.74,24177.23,21336.08,23057.48,15301.98,12687.52,3428.5,33763.0,1077826.83,110167.89,108567.01,109305.97,109305.97,109563.08,108452.71,101554.25,109006.01,107977.56,103926.38,0
 ANTONIO RIBEIRO,M,86,6,6,30,18,4,03/03/1944,361696.7,40812.78,41699.11,53527.13,42212.73,53135.08,32573.14,21560.81,17788.85,19494.29,37582.25,1310.53,33763.0,1106146.52,110889.19,110889.19,110889.19,110313.55,109560.78,110047.86,110889.19,110889.19,110889.19,110889.19,0
 GELSON DE AZEVEDO ALMEIDA,M,88,4,0,17,13,0,10/01/1965,320500.73,17208.87,18142.04,73589.54,23955.82,60671.3,21380.73,24088.36,10719.92,15215.86,4613.07,50915.22,33763.0,1112585.65,111429.1,111429.1,111429.1,111207.7,111523.22,111580.75,111580.75,111580.75,111580.75,109244.43,0
 ELIÉSER GIRÃO MONTEIRO FILHO,M,85,7,4,47,9,3,08/05/1955,363091.99,37148.25,58184.62,39315.76,43316.28,45230.05,37619.01,23969.66,26317.64,11257.52,39833.77,899.43,33763.0,1114542.85,111550.61,111550.61,111550.61,111550.61,111550.61,110587.36,111550.61,111550.61,111550.61,111550.61,0
 GENECIAS MATEUS NORONHA,M,58,34,31,0,0,0,13/03/1963,182956.8,6912.14,17143.52,35003.95,26327.99,19477.71,14497.11,13104.39,10260.84,26907.04,13322.11,0.0,33763.0,1012113.82,92989.03,98109.44,100534.9,101430.22,99984.28,106905.63,103040.08,103040.08,103040.08,103040.08,0
 ROBERTO SEBASTIÃO PETERNELLI JUNIOR,M,89,3,0,132,21,0,06/08/1954,219516.2,17011.69,44800.56,44569.19,22660.96,25933.02,28500.81,13743.54,9053.72,5578.56,7617.8,46.35,33763.0,730045.66,67824.41,70484.71,70484.71,74499.52,79446.76,86394.48,95109.95,76397.8,54701.66,54701.66,0
 EUGENIO JOSÉ ZULIANI,M,51,41,17,9,54,17,13/01/1976,286007.56,35715.9,40468.18,42837.22,40713.17,63995.25,18553.55,16151.75,15973.11,2755.29,8115.64,728.5,33763.0,1080042.52,111641.38,111641.38,111641.38,106897.3,106370.18,106370.18,106370.18,106370.18,106370.18,106370.18,0
